データコード,PR01'PRCG10_2600000000,PR01'PRCG10_2600120001,PR01'PRCG10_2600220001,PR01'PRCG10_2600320001,PR01'PRCG10_2600420001,PR01'PRCG10_2600520001,PR01'PRCG10_2600620001,PR01'PRCG10_2600720001,PR01'PRCG10_2600820001,PR01'PRCG10_2600920001,PR01'PRCG10_2601020001
系列名称,"[輸入物価指数/円ベース] 総平均","類別/_食料品・飼料","類別/_繊維品","類別/_金属・同製品","類別/_木材・同製品","類別/_石油・石炭・天然ガス","類別/_化学製品","類別/_はん用・生産用・業務用機器","類別/_電気・電子機器","類別/_輸送用機器","類別/_その他産品・製品"
系列名称（英字）,"[Import Price Index / yen basis] All commodities","Group/_Foodstuffs & feedstuffs","Group/_Textiles","Group/_Metals & related products","Group/_Wood, lumber & related products","Group/_Petroleum, coal & natural gas","Group/_Chemicals & related products","Group/_General purpose, production & business oriented machinery","Group/_Electric & electronic products","Group/_Transportation equipment","Group/_Other primary products & manufactured goods"
単位,"2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100"
単位（英字）,"CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100"
統計種別・カテゴリ,"企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース","企業物価指数 2010年基準/輸入物価指数/円ベース"
統計種別・カテゴリ(英字),"Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Import Price Index (yen basis)"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01"
収録終了期,"2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
