データコード,PR01'PRCG10_18K0000000,PR01'PRCG10_18K0010010,PR01'PRCG10_18K0010020,PR01'PRCG10_18K0110000,PR01'PRCG10_18K0120010,PR01'PRCG10_18K0120020,PR01'PRCG10_18K0121001,PR01'PRCG10_18K0140011,PR01'PRCG10_18K0140021,PR01'PRCG10_18K0122002,PR01'PRCG10_18K0140012,PR01'PRCG10_18K0123003,PR01'PRCG10_18K0140013,PR01'PRCG10_18K0140023,PR01'PRCG10_18K0124004,PR01'PRCG10_18K0140014,PR01'PRCG10_18K0140024,PR01'PRCG10_18K0210000,PR01'PRCG10_18K0220010,PR01'PRCG10_18K0220020,PR01'PRCG10_18K0221001,PR01'PRCG10_18K0240011,PR01'PRCG10_18K0240021,PR01'PRCG10_18K0222002,PR01'PRCG10_18K0240012,PR01'PRCG10_18K0240022,PR01'PRCG10_18K0223003,PR01'PRCG10_18K0240013,PR01'PRCG10_18K0240023,PR01'PRCG10_18K0224004,PR01'PRCG10_18K0240014,PR01'PRCG10_18K0240024,PR01'PRCG10_18K0310000,PR01'PRCG10_18K0320010,PR01'PRCG10_18K0320020,PR01'PRCG10_18K0321001,PR01'PRCG10_18K0340011,PR01'PRCG10_18K0340021,PR01'PRCG10_18K0322002,PR01'PRCG10_18K0340012,PR01'PRCG10_18K0340022,PR01'PRCG10_18K0330003,PR01'PRCG10_18K0340013,PR01'PRCG10_18K0340023,PR01'PRCG10_18K0330004,PR01'PRCG10_18K0340014,PR01'PRCG10_18K0340024,PR01'PRCG10_18K1020001,PR01'PRCG10_18K1030011,PR01'PRCG10_18K1030021,PR01'PRCG10_18K1020002,PR01'PRCG10_18K1030012,PR01'PRCG10_18K1030022,PR01'PRCG10_18K1020003,PR01'PRCG10_18K1030013,PR01'PRCG10_18K1030023,PR01'PRCG10_18K1020004,PR01'PRCG10_18K1030014,PR01'PRCG10_18K1030024,PR01'PRCG10_18K1020005,PR01'PRCG10_18K0009000,PR01'PRCG10_18K0019010,PR01'PRCG10_18K0219000,PR01'PRCG10_18K0229010
系列名称,"国内需要財","国内需要財(国内品)","国内需要財(輸入品)","素原材料","素原材料(国内品)","素原材料(輸入品)","素原材料/_加工用素原材料","素原材料/_加工用素原材料(国内品)","素原材料/_加工用素原材料(輸入品)","素原材料/_建設用材料","素原材料/_建設用材料(国内品)","素原材料/_燃料","素原材料/_燃料(国内品)","素原材料/_燃料(輸入品)","素原材料/_その他素原材料","素原材料/_その他素原材料(国内品)","素原材料/_その他素原材料(輸入品)","中間財","中間財(国内品)","中間財(輸入品)","中間財/_製品原材料","中間財/_製品原材料(国内品)","中間財/_製品原材料(輸入品)","中間財/_建設用材料","中間財/_建設用材料(国内品)","中間財/_建設用材料(輸入品)","中間財/_燃料・動力","中間財/_燃料・動力(国内品)","中間財/_燃料・動力(輸入品)","中間財/_その他中間財","中間財/_その他中間財(国内品)","中間財/_その他中間財(輸入品)","最終財","最終財(国内品)","最終財(輸入品)","最終財/_資本財","最終財/_資本財(国内品)","最終財/_資本財(輸入品)","最終財/_消費財","最終財/_消費財(国内品)","最終財/_消費財(輸入品)","最終財/_消費財/__耐久消費財","最終財/_消費財/__耐久消費財(国内品)","最終財/_消費財/__耐久消費財(輸入品)","最終財/_消費財/__非耐久消費財","最終財/_消費財/__非耐久消費財(国内品)","最終財/_消費財/__非耐久消費財(輸入品)","(参考)財別分類/生産財","(参考)財別分類/生産財(国内品)","(参考)財別分類/生産財(輸入品)","(参考)財別分類/生産財/建設用材料","(参考)財別分類/生産財/建設用材料(国内品)","(参考)財別分類/生産財/建設用材料(輸入品)","(参考)財別分類/生産財/燃料・動力","(参考)財別分類/生産財/燃料・動力(国内品)","(参考)財別分類/生産財/燃料・動力(輸入品)","(参考)財別分類/生産財/原材料","(参考)財別分類/生産財/原材料(国内品)","(参考)財別分類/生産財/原材料(輸入品)","(参考)財別分類/投資財","(参考)夏季電力料金調整後/国内需要財","(参考)夏季電力料金調整後/国内需要財(国内品)","(参考)夏季電力料金調整後/国内需要財/_中間財","(参考)夏季電力料金調整後/国内需要財/_中間財(国内品)"
系列名称（英字）,"Domestic demand products","Domestic demand products (Domestic goods)","Domestic demand products (Imports)","Raw materials","Raw materials (Domestic goods)","Raw materials (Imports)","Raw materials/_Raw materials for processing","Raw materials/_Raw materials for processing (Domestic goods)","Raw materials/_Raw materials for processing (Imports)","Raw materials/_Construction materials","Raw materials/_Construction materials (Domestic goods)","Raw materials/_Fuel","Raw materials/_Fuel (Domestic goods)","Raw materials/_Fuel (Imports)","Raw materials/_Other raw materials","Raw materials/_Other raw materials (Domestic goods)","Raw materials/_Other raw materials (Imports)","Intermediate materials","Intermediate materials (Domestic goods)","Intermediate materials (Imports)","Intermediate materials/_Semi-finished goods","Intermediate materials/_Semi-finished goods (Domestic goods)","Intermediate materials/_Semi-finished goods (Imports)","Intermediate materials/_Construction materials","Intermediate materials/_Construction materials (Domestic goods)","Intermediate materials/_Construction materials (Imports)","Intermediate materials/_Fuel & energy","Intermediate materials/_Fuel & energy (Domestic goods)","Intermediate materials/_Fuel & energy (Imports)","Intermediate materials/_Other intermediate materials","Intermediate materials/_Other intermediate materials (Domestic goods)","Intermediate materials/_Other intermediate materials (Imports)","Final goods","Final goods (Domestic goods)","Final goods (Imports)","Final goods/_Capital goods","Final goods/_Capital goods (Domestic goods)","Final goods/_Capital goods (Imports)","Final goods/_Consumer goods","Final goods/_Consumer goods (Domestic goods)","Final goods/_Consumer goods (Imports)","Final goods/_Consumer goods/__Durable consumer goods","Final goods/_Consumer goods/__Durable consumer goods (Domestic goods)","Final goods/_Consumer goods/__Durable consumer goods (Imports)","Final goods/_Consumer goods/__Nondurable consumer goods","Final goods/_Consumer goods/__Nondurable consumer goods (Domestic goods)","Final goods/_Consumer goods/__Nondurable consumer goods (Imports)","(Reference) IIP Classification by Use of Goods/ Producer goods","(Reference) IIP Classification by Use of Goods/ Producer goods (Domestic goods)","(Reference) IIP Classification by Use of Goods/ Producer goods (Imports)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Construction materials","(Reference) IIP Classification by Use of Goods/ Producer goods/ Construction materials (Domestic goods)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Construction materials (Imports)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Fuel & energy","(Reference) IIP Classification by Use of Goods/ Producer goods/ Fuel & energy (Domestic goods)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Fuel & energy (Imports)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Materials","(Reference) IIP Classification by Use of Goods/ Producer goods/ Materials (Domestic goods)","(Reference) IIP Classification by Use of Goods/ Producer goods/ Materials (Imports)","(Reference) IIP Classification by Use of Goods/  Investment goods","(Reference) Domestic demand products (excluding extra charges for summer electricity)","(Reference) Domestic demand products (Domestic goods) (excluding extra charges for summer electricity)","(Reference) Domestic demand products/_Intermediate materials (excluding extra charges for summer electricity)","(Reference) Domestic demand products/_Intermediate materials (Domestic goods) (excluding extra charges for summer electricity)"
単位,"2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100","2010年=100"
単位（英字）,"CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100"
統計種別・カテゴリ,"企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数","企業物価指数 2010年基準/需要段階別・用途別指数"
統計種別・カテゴリ(英字),"Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use","Corporate Goods Price Index (2010 Base)/ Index by Stage of Demand and Use"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1960/01","1970/01","1980/01","1975/01","1975/01","2000/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1975/01","1975/01","1980/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","2005/01","2005/01","1960/01","2005/01","2005/01","1960/01","2005/01","2005/01","1960/01","2005/01","2005/01","2005/01","2005/01"
収録終了期,"2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
