データコード,PR01'PRCG_18Z0011001,PR01'PRCG_18Z0011002,PR01'PRCG_18Z0011003,PR01'PRCG_18Z0011004,PR01'PRCG_18Z0011005
系列名称,"生産財","生産財/_建設用材料","生産財/_燃料・動力","資本財","消費財"
系列名称（英字）,"Producer goods","Producer goods/_Construction materials","Producer goods/_Fuel & energy","Capital goods","Consumer goods"
単位,"1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1"
単位（英字）,"1934-36 average=1","1934-36 average=1","1934-36 average=1","1934-36 average=1","1934-36 average=1"
統計種別・カテゴリ,"企業物価指数 2015年基準/戦前基準指数","企業物価指数 2015年基準/戦前基準指数","企業物価指数 2015年基準/戦前基準指数","企業物価指数 2015年基準/戦前基準指数","企業物価指数 2015年基準/戦前基準指数"
統計種別・カテゴリ(英字),"Corporate Goods Price Index (2015 Base)/ Prewar Base Index","Corporate Goods Price Index (2015 Base)/ Prewar Base Index","Corporate Goods Price Index (2015 Base)/ Prewar Base Index","Corporate Goods Price Index (2015 Base)/ Prewar Base Index","Corporate Goods Price Index (2015 Base)/ Prewar Base Index"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1946/01","1931/01","1931/01","1952/01","1946/01"
収録終了期,"2018/09","2018/09","2018/09","2018/09","2018/09"
期種,月次,月次,月次,月次,月次
備考,"1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1","1934～1936年平均=1"
備考（英字）,"1934-36 average=1","1934-36 average=1","1934-36 average=1","1934-36 average=1","1934-36 average=1"

1930/01,      ,      ,      ,     ,
1930/02,      ,      ,      ,     ,
1930/03,      ,      ,      ,     ,
1930/04,      ,      ,      ,     ,
1930/05,      ,      ,      ,     ,
1930/06,      ,      ,      ,     ,
1930/07,      ,      ,      ,     ,
1930/08,      ,      ,      ,     ,
1930/09,      ,      ,      ,     ,
1930/10,      ,      ,      ,     ,
1930/11,      ,      ,      ,     ,
1930/12,      ,      ,      ,     ,
1931/01,      ,0.768 ,0.892 ,     ,
1931/02,      ,0.787 ,0.89  ,     ,
1931/03,      ,0.829 ,0.857 ,     ,
1931/04,      ,0.865 ,0.84  ,     ,
1931/05,      ,0.81  ,0.823 ,     ,
1931/06,      ,0.79  ,0.813 ,     ,
1931/07,      ,0.796 ,0.81  ,     ,
1931/08,      ,0.821 ,0.807 ,     ,
1931/09,      ,0.813 ,0.809 ,     ,
1931/10,      ,0.809 ,0.811 ,     ,
1931/11,      ,0.797 ,0.802 ,     ,
1931/12,      ,0.81  ,0.807 ,     ,
1932/01,      ,0.862 ,0.813 ,     ,
1932/02,      ,0.847 ,0.792 ,     ,
1932/03,      ,0.857 ,0.784 ,     ,
1932/04,      ,0.849 ,0.779 ,     ,
1932/05,      ,0.827 ,0.757 ,     ,
1932/06,      ,0.8   ,0.746 ,     ,
1932/07,      ,0.792 ,0.736 ,     ,
1932/08,      ,0.816 ,0.747 ,     ,
1932/09,      ,0.891 ,0.776 ,     ,
1932/10,      ,0.928 ,0.801 ,     ,
1932/11,      ,0.967 ,0.823 ,     ,
1932/12,      ,1.092 ,0.872 ,     ,
1933/01,      ,1.162 ,0.903 ,     ,
1933/02,      ,1.134 ,0.905 ,     ,
1933/03,      ,1.085 ,0.903 ,     ,
1933/04,      ,1.043 ,0.9   ,     ,
1933/05,      ,0.968 ,0.903 ,     ,
1933/06,      ,0.959 ,0.9   ,     ,
1933/07,      ,0.935 ,0.92  ,     ,
1933/08,      ,0.983 ,0.932 ,     ,
1933/09,      ,0.972 ,0.939 ,     ,
1933/10,      ,0.966 ,0.928 ,     ,
1933/11,      ,0.956 ,0.939 ,     ,
1933/12,      ,0.942 ,0.96  ,     ,
1934/01,      ,0.952 ,0.95  ,     ,
1934/02,      ,0.964 ,0.947 ,     ,
1934/03,      ,0.983 ,0.95  ,     ,
1934/04,      ,0.978 ,0.958 ,     ,
1934/05,      ,0.976 ,0.96  ,     ,
1934/06,      ,0.985 ,0.959 ,     ,
1934/07,      ,1.011 ,0.967 ,     ,
1934/08,      ,1.034 ,0.97  ,     ,
1934/09,      ,1.084 ,0.98  ,     ,
1934/10,      ,1.093 ,0.987 ,     ,
1934/11,      ,1.05  ,0.986 ,     ,
1934/12,      ,1.015 ,0.992 ,     ,
1935/01,      ,1.002 ,0.998 ,     ,
1935/02,      ,0.986 ,0.996 ,     ,
1935/03,      ,0.997 ,0.995 ,     ,
1935/04,      ,0.992 ,0.99  ,     ,
1935/05,      ,0.98  ,0.986 ,     ,
1935/06,      ,0.988 ,0.985 ,     ,
1935/07,      ,0.987 ,0.985 ,     ,
1935/08,      ,0.986 ,0.985 ,     ,
1935/09,      ,0.997 ,0.989 ,     ,
1935/10,      ,1.013 ,1.001 ,     ,
1935/11,      ,0.998 ,1.004 ,     ,
1935/12,      ,0.986 ,1.008 ,     ,
1936/01,      ,0.982 ,1.015 ,     ,
1936/02,      ,0.982 ,1.037 ,     ,
1936/03,      ,0.992 ,1.034 ,     ,
1936/04,      ,0.988 ,1.031 ,     ,
1936/05,      ,0.967 ,1.024 ,     ,
1936/06,      ,0.965 ,1.031 ,     ,
1936/07,      ,0.959 ,1.033 ,     ,
1936/08,      ,0.969 ,1.035 ,     ,
1936/09,      ,0.994 ,1.039 ,     ,
1936/10,      ,1.008 ,1.046 ,     ,
1936/11,      ,1.031 ,1.063 ,     ,
1936/12,      ,1.142 ,1.078 ,     ,
1937/01,      ,1.331 ,1.085 ,     ,
1937/02,      ,1.277 ,1.081 ,     ,
1937/03,      ,1.394 ,1.084 ,     ,
1937/04,      ,1.494 ,1.132 ,     ,
1937/05,      ,1.416 ,1.147 ,     ,
1937/06,      ,1.354 ,1.153 ,     ,
1937/07,      ,1.348 ,1.204 ,     ,
1937/08,      ,1.343 ,1.221 ,     ,
1937/09,      ,1.358 ,1.245 ,     ,
1937/10,      ,1.361 ,1.366 ,     ,
1937/11,      ,1.387 ,1.377 ,     ,
1937/12,      ,1.436 ,1.389 ,     ,
1938/01,      ,1.451 ,1.465 ,     ,
1938/02,      ,1.492 ,1.463 ,     ,
1938/03,      ,1.517 ,1.46  ,     ,
1938/04,      ,1.529 ,1.509 ,     ,
1938/05,      ,1.573 ,1.528 ,     ,
1938/06,      ,1.628 ,1.532 ,     ,
1938/07,      ,1.573 ,1.539 ,     ,
1938/08,      ,1.569 ,1.533 ,     ,
1938/09,      ,1.583 ,1.504 ,     ,
1938/10,      ,1.593 ,1.504 ,     ,
1938/11,      ,1.641 ,1.486 ,     ,
1938/12,      ,1.654 ,1.477 ,     ,
1939/01,      ,1.692 ,1.48  ,     ,
1939/02,      ,1.738 ,1.48  ,     ,
1939/03,      ,1.761 ,1.48  ,     ,
1939/04,      ,1.78  ,1.48  ,     ,
1939/05,      ,1.754 ,1.481 ,     ,
1939/06,      ,1.761 ,1.475 ,     ,
1939/07,      ,1.768 ,1.475 ,     ,
1939/08,      ,1.769 ,1.495 ,     ,
1939/09,      ,1.878 ,1.499 ,     ,
1939/10,      ,1.884 ,1.499 ,     ,
1939/11,      ,1.886 ,1.527 ,     ,
1939/12,      ,1.887 ,1.527 ,     ,
1940/01,      ,1.897 ,1.519 ,     ,
1940/02,      ,2.104 ,1.522 ,     ,
1940/03,      ,2.09  ,1.522 ,     ,
1940/04,      ,2.085 ,1.601 ,     ,
1940/05,      ,2.06  ,1.601 ,     ,
1940/06,      ,2.06  ,1.601 ,     ,
1940/07,      ,2.06  ,1.601 ,     ,
1940/08,      ,2.112 ,1.62  ,     ,
1940/09,      ,2.133 ,1.633 ,     ,
1940/10,      ,2.129 ,1.68  ,     ,
1940/11,      ,2.124 ,1.68  ,     ,
1940/12,      ,2.124 ,1.68  ,     ,
1941/01,      ,2.174 ,1.68  ,     ,
1941/02,      ,2.199 ,1.68  ,     ,
1941/03,      ,2.199 ,1.68  ,     ,
1941/04,      ,2.199 ,1.717 ,     ,
1941/05,      ,2.2   ,1.721 ,     ,
1941/06,      ,2.201 ,1.721 ,     ,
1941/07,      ,2.203 ,1.721 ,     ,
1941/08,      ,2.203 ,1.732 ,     ,
1941/09,      ,2.205 ,1.732 ,     ,
1941/10,      ,2.217 ,1.726 ,     ,
1941/11,      ,2.217 ,1.726 ,     ,
1941/12,      ,2.217 ,1.726 ,     ,
1942/01,      ,2.24  ,1.831 ,     ,
1942/02,      ,2.24  ,1.831 ,     ,
1942/03,      ,2.24  ,1.831 ,     ,
1942/04,      ,2.24  ,1.841 ,     ,
1942/05,      ,2.24  ,1.841 ,     ,
1942/06,      ,2.258 ,1.841 ,     ,
1942/07,      ,2.275 ,1.841 ,     ,
1942/08,      ,2.309 ,1.841 ,     ,
1942/09,      ,2.335 ,1.841 ,     ,
1942/10,      ,2.335 ,1.841 ,     ,
1942/11,      ,2.335 ,1.841 ,     ,
1942/12,      ,2.335 ,1.841 ,     ,
1943/01,      ,2.335 ,1.841 ,     ,
1943/02,      ,2.335 ,1.841 ,     ,
1943/03,      ,2.348 ,1.841 ,     ,
1943/04,      ,2.348 ,1.841 ,     ,
1943/05,      ,2.348 ,1.841 ,     ,
1943/06,      ,2.348 ,1.841 ,     ,
1943/07,      ,2.364 ,1.841 ,     ,
1943/08,      ,2.396 ,1.841 ,     ,
1943/09,      ,2.441 ,1.841 ,     ,
1943/10,      ,2.507 ,1.841 ,     ,
1943/11,      ,2.541 ,1.841 ,     ,
1943/12,      ,2.541 ,1.841 ,     ,
1944/01,      ,2.541 ,1.841 ,     ,
1944/02,      ,2.549 ,1.894 ,     ,
1944/03,      ,2.552 ,1.92  ,     ,
1944/04,      ,2.572 ,1.92  ,     ,
1944/05,      ,2.581 ,1.92  ,     ,
1944/06,      ,2.581 ,1.967 ,     ,
1944/07,      ,2.672 ,1.967 ,     ,
1944/08,      ,2.717 ,1.967 ,     ,
1944/09,      ,3.035 ,1.967 ,     ,
1944/10,      ,3.253 ,1.967 ,     ,
