データコード,PR01'PRW95_210000000,PR01'PRW95_210001001,PR01'PRW95_210012001,PR01'PRW95_210022001,PR01'PRW95_210032001,PR01'PRW95_210042001,PR01'PRW95_210052001,PR01'PRW95_210062001,PR01'PRW95_210072001,PR01'PRW95_210082001,PR01'PRW95_210092001,PR01'PRW95_210102001,PR01'PRW95_210112001,PR01'PRW95_210122001,PR01'PRW95_210132001,PR01'PRW95_210142001,PR01'PRW95_210152001,PR01'PRW95_210162001,PR01'PRW95_210001002,PR01'PRW95_210172001,PR01'PRW95_210182001,PR01'PRW95_210001003,PR01'PRW95_210001003,PR01'PRW95_210001004,PR01'PRW95_210001004,PR01'PRW95_210001005,PR01'PRW95_210001005,PR01'PRW95_210001800,PR01'PRW95_210001900
系列名称,"[消費税を除く国内卸売物価指数] 総平均","大類別/_工業製品","類別/加工食品","類別/繊維製品","類別/製材・木製品","類別/パルプ・紙・同製品","類別/化学製品","類別/プラスチック製品","類別/石油・石炭製品","類別/窯業・土石製品","類別/鉄鋼","類別/非鉄金属","類別/金属製品","類別/一般機器","類別/電気機器","類別/輸送用機器","類別/精密機器","類別/その他工業製品","大類別/_農林水産物","類別/食料用農蓄水産物","類別/非食料農林産物","類別/鉱産物","類別/鉱産物","類別/電力・都市ガス・水道","類別/電力・都市ガス・水道","類別/スクラップ類","類別/スクラップ類","(参考)食料品","(参考)機械器具"
系列名称（英字）,"[Domestic Wholesale Price Index excluding consumption tax] All commodities","Major group/_Manufacturing Industry Products","Group/ Processed Foodstuffs","Group/ Textile Products","Group/ Lumber & Wood Products","Group/ Pulp, Paper & Related Products","Group/ Chemicals","Group/ Plastic Products","Group/ Petroleum & Coal Products","Group/ Ceramic, Stone & Clay Products","Group/ Iron & Steel","Group/ Nonferrous Metals","Group/ Metal Products","Group/ General Machinery","Group/ Electrical Machinery","Group/ Transportation Equipment","Group/ Precision Instruments","Group/ Other Manufacturing Industry Products","Major group/_Agricultural, Forestry & Fishery Products","Group/ Edible Agricultural, Livestock & Fishery Products","Group/ Inedible Agricultural & Forestry Products","Group/ Mining Products","Group/ Mining Products","Group/ Electric Power, Gas & Water","Group/ Electric Power, Gas & Water","Group/ Scrap & Waste","Group/ Scrap & Waste","(Reference) Foodstuffs","(Reference) Machinery & Equipment"
単位,"1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100"
単位（英字）,"CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100"
統計種別・カテゴリ,"卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数","卸売物価指数 1995年基準/消費税を除く国内卸売物価指数"
統計種別・カテゴリ(英字),"Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax","Wholesale Price Index (1995 Base)/ Domestic Wholesale Price Index excluding consumption tax"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01","1995/01"
収録終了期,"2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
備考,"品目数：971、ウエイト：1000","品目数：914、ウエイト：914.9","ウエイト：110.9","ウエイト：27.8","ウエイト：16.4","ウエイト：31.9","ウエイト：77.9","ウエイト：36.8","ウエイト：28.4","ウエイト：35.2","ウエイト：43.3","ウエイト：21.1","ウエイト：45.8","ウエイト：104","ウエイト：154.2","ウエイト：82.1","ウエイト：11.4","ウエイト：87.7","品目数：38、ウエイト：29.8","ウエイト：27.4","ウエイト：2.4","ウエイト：8.8","ウエイト：8.8","ウエイト：43.7","ウエイト：43.7","ウエイト：2.8","ウエイト：2.8","品目数：140、ウエイト：138.3 加工食品+食料用農畜水産物","品目数：240、ウエイト：351.7 一般機器+電気機器+輸送用機器+精密機器"
備考（英字）,"Number of Commodity:971, Weights:1000","Number of Commodity:914, Weights:914.9","Weights:110.9","Weights:27.8","Weights:16.4","Weights:31.9","Weights:77.9","Weights:36.8","Weights:28.4","Weights:35.2","Weights:43.3","Weights:21.1","Weights:45.8","Weights:104","Weights:154.2","Weights:82.1","Weights:11.4","Weights:87.7","Number of Commodity:38, Weights:29.8","Weights:27.4","Weights:2.4","Weights:8.8","Weights:8.8","Weights:43.7","Weights:43.7","Weights:2.8","Weights:2.8","Number of Commodity:140, Weights:138.3","Number of Commodity:240, Weights:351.7"

1950/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1950/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1951/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1952/12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/01,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/02,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/03,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/04,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/05,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/06,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/07,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/08,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/09,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
1953/11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
