データコード,PR01'PRW95_170000000,PR01'PRW95_170001010,PR01'PRW95_170001020,PR01'PRW95_170001030,PR01'PRW95_170001101,PR01'PRW95_170002111,PR01'PRW95_170002121,PR01'PRW95_170002131,PR01'PRW95_170012001,PR01'PRW95_170013001,PR01'PRW95_170013003,PR01'PRW95_170022001,PR01'PRW95_170023001,PR01'PRW95_170023002,PR01'PRW95_170023003,PR01'PRW95_170032001,PR01'PRW95_170033001,PR01'PRW95_170033003,PR01'PRW95_170042001,PR01'PRW95_170043001,PR01'PRW95_170043002,PR01'PRW95_170043003,PR01'PRW95_170052001,PR01'PRW95_170053001,PR01'PRW95_170053002,PR01'PRW95_170053003,PR01'PRW95_170062001,PR01'PRW95_170063001,PR01'PRW95_170063002,PR01'PRW95_170063003,PR01'PRW95_170072001,PR01'PRW95_170073001,PR01'PRW95_170073002,PR01'PRW95_170073003,PR01'PRW95_170082001,PR01'PRW95_170083001,PR01'PRW95_170083002,PR01'PRW95_170083003,PR01'PRW95_170092001,PR01'PRW95_170093001,PR01'PRW95_170093002,PR01'PRW95_170093003
系列名称,"[総合卸売物価指数] 総平均","[総合卸売物価指数] 総平均(国内品)","[総合卸売物価指数] 総平均(輸出品)","[総合卸売物価指数] 総平均(輸入品)","大類別/_工業製品","大類別/_工業製品(国内品)","大類別/_工業製品(輸出品)","大類別/_工業製品(輸入品)","類別/__加工食品","類別/__加工食品(国内品)","類別/__加工食品(輸入品)","類別/__繊維製品","類別/__繊維製品(国内品)","類別/__繊維製品(輸出品)","類別/__繊維製品(輸入品)","類別/__製材・木製品","類別/__製材・木製品(国内品)","類別/__製材・木製品(輸入品)","類別/__パルプ・紙・同製品","類別/__パルプ・紙・同製品(国内品)","類別/__パルプ・紙・同製品(輸出品)","類別/__パルプ・紙・同製品(輸入品)","類別/__化学製品","類別/__化学製品(国内品)","類別/__化学製品(輸出品)","類別/__化学製品(輸入品)","類別/__プラスチック製品","類別/__プラスチック製品(国内品)","類別/__プラスチック製品(輸出品)","類別/__プラスチック製品(輸入品)","類別/__石油・石炭製品","類別/__石油・石炭製品(国内品)","類別/__石油・石炭製品(輸出品)","類別/__石油・石炭製品(輸入品)","類別/__窯業・土石製品","類別/__窯業・土石製品(国内品)","類別/__窯業・土石製品(輸出品)","類別/__窯業・土石製品(輸入品)","類別/__鉄鋼","類別/__鉄鋼(国内品)","類別/__鉄鋼(輸出品)","類別/__鉄鋼(輸入品)"
系列名称（英字）,"[Overall Wholesale Price Index] All commodities","[Overall Wholesale Price Index] All commodities (Domestic goods)","[Overall Wholesale Price Index] All commodities (Exports)","[Overall Wholesale Price Index] All commodities (Imports)","Major group/_Manufacturing Industry Products","Major group/_Manufacturing Industry Products (Domestic goods)","Major group/_Manufacturing Industry Products (Exports)","Major group/_Manufacturing Industry Products (Imports)","Group/__Processed Foodstuffs","Group/__Processed Foodstuffs (Domestic goods)","Group/__Processed Foodstuffs (Imports)","Group/__Textile Products","Group/__Textile Products (Domestic goods)","Group/__Textile Products (Exports)","Group/__Textile Products (Imports)","Group/__Lumber & Wood Products","Group/__Lumber & Wood Products (Domestic goods)","Group/__Lumber & Wood Products (Imports)","Group/__Pulp, Paper & Related Products","Group/__Pulp, Paper & Related Products (Domestic goods)","Group/__Pulp, Paper & Related Products (Exports)","Group/__Pulp, Paper & Related Products (Imports)","Group/__Chemicals","Group/__Chemicals (Domestic goods)","Group/__Chemicals (Exports)","Group/__Chemicals (Imports)","Group/__Plastic Products","Group/__Plastic Products (Domestic goods)","Group/__Plastic Products (Exports)","Group/__Plastic Products (Imports)","Group/__Petroleum & Coal Products","Group/__Petroleum & Coal Products (Domestic goods)","Group/__Petroleum & Coal Products (Exports)","Group/__Petroleum & Coal Products (Imports)","Group/__Ceramic, Stone & Clay Products","Group/__Ceramic, Stone & Clay Products (Domestic goods)","Group/__Ceramic, Stone & Clay Products (Exports)","Group/__Ceramic, Stone & Clay Products (Imports)","Group/__Iron & Steel","Group/__Iron & Steel (Domestic goods)","Group/__Iron & Steel (Exports)","Group/__Iron & Steel (Imports)"
単位,"1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100"
単位（英字）,"CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100"
統計種別・カテゴリ,"卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数"
統計種別・カテゴリ(英字),"Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1970/01","1970/01","1970/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01"
収録終了期,"2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
