データコード,PR01'PRW95_170102001,PR01'PRW95_170103001,PR01'PRW95_170103002,PR01'PRW95_170103003,PR01'PRW95_170112001,PR01'PRW95_170113001,PR01'PRW95_170113002,PR01'PRW95_170113003,PR01'PRW95_170122001,PR01'PRW95_170123001,PR01'PRW95_170123002,PR01'PRW95_170123003,PR01'PRW95_170132001,PR01'PRW95_170133001,PR01'PRW95_170133002,PR01'PRW95_170133003,PR01'PRW95_170142001,PR01'PRW95_170143001,PR01'PRW95_170143002,PR01'PRW95_170143003,PR01'PRW95_170152001,PR01'PRW95_170153001,PR01'PRW95_170153002,PR01'PRW95_170153003,PR01'PRW95_170162001,PR01'PRW95_170163001,PR01'PRW95_170163002,PR01'PRW95_170163003,PR01'PRW95_170001201,PR01'PRW95_170002211,PR01'PRW95_170002231,PR01'PRW95_170172001,PR01'PRW95_170173001,PR01'PRW95_170173003,PR01'PRW95_170182001,PR01'PRW95_170183001,PR01'PRW95_170183003,PR01'PRW95_170001301,PR01'PRW95_170002311,PR01'PRW95_170002331,PR01'PRW95_170001401,PR01'PRW95_170002411,PR01'PRW95_170001501,PR01'PRW95_170002511,PR01'PRW95_170002531
系列名称,"類別/__非鉄金属","類別/__非鉄金属(国内品)","類別/__非鉄金属(輸出品)","類別/__非鉄金属(輸入品)","類別/__金属製品","類別/__金属製品(国内品)","類別/__金属製品(輸出品)","類別/__金属製品(輸入品)","類別/__一般機器","類別/__一般機器(国内品)","類別/__一般機器(輸出品)","類別/__一般機器(輸入品)","類別/__電気機器","類別/__電気機器(国内品)","類別/__電気機器(輸出品)","類別/__電気機器(輸入品)","類別/__輸送用機器","類別/__輸送用機器(国内品)","類別/__輸送用機器(輸出品)","類別/__輸送用機器(輸入品)","類別/__精密機器","類別/__精密機器(国内品)","類別/__精密機器(輸出品)","類別/__精密機器(輸入品)","類別/__その他工業製品","類別/__その他工業製品(国内品)","類別/__その他工業製品(輸出品)","類別/__その他工業製品(輸入品)","大類別/_農林水産物","大類別/_農林水産物(国内品)","大類別/_農林水産物(輸入品)","類別/__食料用農畜水産物","類別/__食料用農畜水産物(国内品)","類別/__食料用農畜水産物(輸入品)","類別/__非食料農林産物","類別/__非食料農林産物(国内品)","類別/__非食料農林産物(輸入品)","大類別/_鉱産物","大類別/_鉱産物(国内品)","大類別/_鉱産物(輸入品)","大類別/_電力・都市ガス・水道","大類別/_電力・都市ガス・水道(国内品)","大類別/_スクラップ類","大類別/_スクラップ類(国内品)","大類別/_スクラップ類(輸入品)"
系列名称（英字）,"Group/__Nonferrous Metals","Group/__Nonferrous Metals (Domestic goods)","Group/__Nonferrous Metals (Exports)","Group/__Nonferrous Metals (Imports)","Group/__Metal Products","Group/__Metal Products (Domestic goods)","Group/__Metal Products (Exports)","Group/__Metal Products (Imports)","Group/__General Machinery","Group/__General Machinery (Domestic goods)","Group/__General Machinery (Exports)","Group/__General Machinery (Imports)","Group/__Electrical Machinery","Group/__Electrical Machinery (Domestic goods)","Group/__Electrical Machinery (Exports)","Group/__Electrical Machinery (Imports)","Group/__Transportation Equipment","Group/__Transportation Equipment (Domestic goods)","Group/__Transportation Equipment (Exports)","Group/__Transportation Equipment (Imports)","Group/__Precision Instruments","Group/__Precision Instruments (Domestic goods)","Group/__Precision Instruments (Exports)","Group/__Precision Instruments (Imports)","Group/__Other Manufacturing Industry Products","Group/__Other Manufacturing Industry Products (Domestic goods)","Group/__Other Manufacturing Industry Products (Exports)","Group/__Other Manufacturing Industry Products (Imports)","Major group/_Agricultural, Forestry & Fishery Products","Major group/_Agricultural, Forestry & Fishery Products (Domestic goods)","Major group/_Agricultural, Forestry & Fishery Products (Imports)","Group/__Edible Agricultural, Livestock & Fishery Products","Group/__Edible Agricultural, Livestock & Fishery Products (Domestic goods)","Group/__Edible Agricultural, Livestock & Fishery Products (Imports)","Group/__Inedible Agricultural & Forestry Products","Group/__Inedible Agricultural & Forestry Products (Domestic goods)","Group/__Inedible Agricultural & Forestry Products (Imports)","Major group/_Mining Products","Major group/_Mining Products (Domestic goods)","Major group/_Mining Products (Imports)","Major group/_Electric Power, Gas & Water","Major group/_Electric Power, Gas & Water (Domestic goods)","Major group/_Scrap & Waste","Major group/_Scrap & Waste (Domestic goods)","Major group/_Scrap & Waste (Imports)"
単位,"1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100"
単位（英字）,"CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100"
統計種別・カテゴリ,"卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数","卸売物価指数 1995年基準/総合卸売物価指数"
統計種別・カテゴリ(英字),"Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index","Wholesale Price Index (1995 Base)/ Overall Wholesale Price Index"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1960/01","1995/01","1995/01"
収録終了期,"2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
