データコード,PR01'PRW95_17K000000,PR01'PRW95_17K001010,PR01'PRW95_17K001020,PR01'PRW95_17K011000,PR01'PRW95_17K012010,PR01'PRW95_17K012020,PR01'PRW95_17K012001,PR01'PRW95_17K014011,PR01'PRW95_17K014021,PR01'PRW95_17K012002,PR01'PRW95_17K014012,PR01'PRW95_17K014022,PR01'PRW95_17K012003,PR01'PRW95_17K014013,PR01'PRW95_17K014023,PR01'PRW95_17K012004,PR01'PRW95_17K014014,PR01'PRW95_17K021000,PR01'PRW95_17K022010,PR01'PRW95_17K022020,PR01'PRW95_17K022001,PR01'PRW95_17K024011,PR01'PRW95_17K024021,PR01'PRW95_17K022002,PR01'PRW95_17K024012,PR01'PRW95_17K024022,PR01'PRW95_17K022003,PR01'PRW95_17K024013,PR01'PRW95_17K024023,PR01'PRW95_17K022004,PR01'PRW95_17K024014,PR01'PRW95_17K024024,PR01'PRW95_17K031000,PR01'PRW95_17K032010,PR01'PRW95_17K032020,PR01'PRW95_17K032001,PR01'PRW95_17K034011,PR01'PRW95_17K034021,PR01'PRW95_17K032002,PR01'PRW95_17K034012,PR01'PRW95_17K034022,PR01'PRW95_17K033003,PR01'PRW95_17K034013,PR01'PRW95_17K034023,PR01'PRW95_17K033004,PR01'PRW95_17K034014,PR01'PRW95_17K034024,PR01'PRW95_17K102001,PR01'PRW95_17K103011,PR01'PRW95_17K103021,PR01'PRW95_17K102002,PR01'PRW95_17K103012,PR01'PRW95_17K103022,PR01'PRW95_17K102003,PR01'PRW95_17K103013,PR01'PRW95_17K103023,PR01'PRW95_17K102004,PR01'PRW95_17K103014,PR01'PRW95_17K103024,PR01'PRW95_17K102005
系列名称,"国内需要財","国内需要財(国内品)","国内需要財(輸入品)","素原材料","素原材料(国内品)","素原材料(輸入品)","素原材料/_加工用素原材料","素原材料/_加工用素原材料(国内品)","素原材料/_加工用素原材料(輸入品)","素原材料/_建設用材料","素原材料/_建設用材料(国内品)","素原材料/_建設用材料(輸入品)","素原材料/_燃料","素原材料/_燃料(国内品)","素原材料/_燃料(輸入品)","素原材料/_その他素原材料","素原材料/_その他素原材料(国内品)","中間財","中間財(国内品)","中間財(輸入品)","中間財/_製品原材料","中間財/_製品原材料(国内品)","中間財/_製品原材料(輸入品)","中間財/_建設用材料","中間財/_建設用材料(国内品)","中間財/_建設用材料(輸入品)","中間財/_燃料・動力","中間財/_燃料・動力(国内品)","中間財/_燃料・動力(輸入品)","中間財/_その他中間財","中間財/_その他中間財(国内品)","中間財/_その他中間財(輸入品)","最終財","最終財(国内品)","最終財(輸入品)","最終財/_資本財","最終財/_資本財(国内品)","最終財/_資本財(輸入品)","最終財/_消費財","最終財/_消費財(国内品)","最終財/_消費財(輸入品)","最終財/_消費財/__耐久消費財","最終財/_消費財/__耐久消費財(国内品)","最終財/_消費財/__耐久消費財(輸入品)","最終財/_消費財/__非耐久消費財","最終財/_消費財/__非耐久消費財(国内品)","最終財/_消費財/__非耐久消費財(輸入品)","(参考)財別分類/生産財","(参考)財別分類/生産財(国内品)","(参考)財別分類/生産財(輸入品)","(参考)財別分類/生産財/建設用材料","(参考)財別分類/生産財/建設用材料(国内品)","(参考)財別分類/生産財/建設用材料(輸入品)","(参考)財別分類/生産財/燃料・動力","(参考)財別分類/生産財/燃料・動力(国内品)","(参考)財別分類/生産財/燃料・動力(輸入品)","(参考)財別分類/生産財/原材料","(参考)財別分類/生産財/原材料(国内品)","(参考)財別分類/生産財/原材料(輸入品)","(参考)財別分類/投資財"
系列名称（英字）,"Domestic Demand Products","Domestic Demand Products (Domestic goods)","Domestic Demand Products (Imports)","(Reference) Producer Goods/_Raw Materials","Raw Materials (Domestic goods)","Raw Materials (Imports)","(Reference) Producer Goods/ Materials/_Raw Materials/__Raw Materials for Processing","Raw Materials/_Raw Materials for Processing (Domestic goods)","Raw Materials/_Raw Materials for Processing (Imports)","(Reference) Investment Goods/ Construction Materials/_Raw Materials","Raw Materials/_Construction Materials (Domestic goods)","Raw Materials/_Construction Materials (Imports)","(Reference) Producer Goods/ Fuel & Energy/_Raw Materials","Raw Materials/_Fuel (Domestic goods)","Raw Materials/_Fuel (Imports)","Raw Materials/_Other Raw Materials","Raw Materials/_Other Raw Materials (Domestic goods)","(Reference) Producer Goods/_Intermediate Materials","Intermediate Materials (Domestic goods)","Intermediate Materials (Imports)","(Reference) Producer Goods/ Materials/_Intermediate Materials/__Semi-finished Goods","Intermediate Materials/_Semi-finished Goods (Domestic goods)","Intermediate Materials/_Semi-finished Goods (Imports)","(Reference) Investment Goods/ Construction Materials/_Intermediate Materials","Intermediate Materials/_Construction Materials (Domestic goods)","Intermediate Materials/_Construction Materials (Imports)","(Reference) Producer Goods/ Fuel & Energy/_Intermediate Materials","Intermediate Materials/_Fuel & Energy (Domestic goods)","Intermediate Materials/_Fuel & Energy (Imports)","Intermediate Materials/_Other Intermediate Materials","Intermediate Materials/_Other Intermediate Materials (Domestic goods)","Intermediate Materials/_Other Intermediate Materials (Imports)","Final Goods","Final Goods (Domestic goods)","Final Goods (Imports)","(Reference) Investment Goods/ Capital Goods/_Final Goods","Final Goods/_Capital Goods (Domestic goods)","Final Goods/_Capital Goods (Imports)","Final Goods/_Consumer Goods","Final Goods/_Consumer Goods (Domestic goods)","Final Goods/_Consumer Goods (Imports)","Final Goods/_Consumer Goods/__Durable Consumer Goods","Final Goods/_Consumer Goods/__Durable Consumer Goods (Domestic goods)","Final Goods/_Consumer Goods/__Durable Consumer Goods (Imports)","Final Goods/_Consumer Goods/__Non-durable Consumer Goods","Final Goods/_Consumer Goods/__Non-durable Consumer Goods (Domestic goods)","Final Goods/_Consumer Goods/__Non-durable Consumer Goods (Imports)","(Reference) Producer Goods","(Reference) Producer Goods (Domestic goods)","(Reference) Producer Goods (Imports)","(Reference) Producer Goods/ Construction Materials","(Reference) Producer Goods/ Construction Materials (Domestic goods)","(Reference) Producer Goods/ Construction Materials (Imports)","(Reference) Producer Goods/ Fuel & Energy","(Reference) Producer Goods/ Fuel & Energy (Domestic goods)","(Reference) Producer Goods/ Fuel & Energy (Imports)","(Reference) Producer Goods/ Materials","(Reference) Producer Goods/ Materials (Domestic goods)","(Reference) Producer Goods/ Materials (Imports)","(Reference) Investment Goods"
単位,"1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100","1995年=100"
単位（英字）,"CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100","CY1995 average=100"
統計種別・カテゴリ,"卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数","卸売物価指数 1995年基準/需要段階別・用途別指数"
統計種別・カテゴリ(英字),"Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use","Wholesale Price Index (1995 Base)/ Index by Stage of Demand and Use"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1980/01","1960/01","1970/01","1980/01","1975/01","1975/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1975/01","1975/01","1980/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1970/01","1970/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01","1995/01","1995/01","1960/01"
収録終了期,"2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11","2002/11"
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
