year,[戦前基準指数] 総平均;[Prewar Base Index] All commodities,類別/_食料品;Group/_Foodstuffs,類別/_繊維品;Group/_Textiles,"類別/_木材・同製品;Group/_Wood, lumber & related products","類別/_パルプ・紙・同製品;Group/_Pulp, paper & related products",類別/_化学製品;Group/_Chemicals & related products,"類別/_石油・石炭・同製品;Group/_Petroleum, coal & related products","類別/_窯業・土石製品;Group/_Ceramic, stone & clay products",類別/_鉄鋼;Group/_Iron & steel,類別/_非鉄金属;Group/_Nonferrous metals,類別/_金属製品;Group/_Metal products,類別/_機械器具;Group/_Machinery & equipment,類別/_雑品;Group/_Miscellaneous goods,(参考)類別/_食料用農産物;(Reference) Group/_Edible farm products,(参考)類別/_その他の食料品;(Reference) Group/_Other foodstuffs,(参考)類別/_金属・機械;(Reference) Group/_Metals & machinery,生産財;Producer goods,生産財/_建設用材料;Producer goods/_Construction materials,生産財/_燃料・動力;Producer goods/_Fuel & energy,資本財;Capital goods,消費財;Consumer goods,投資財;Investment goods
1900,0.143,,,,,,,,,,,,,,,,,,,,,
1901,0.137,,,,,,,,,,,,,,,,,,,,,
1902,0.138,,,,,,,,,,,,,,,,,,,,,
1903,0.147,,,,,,,,,,,,,,,,,,,,,
1904,0.155,,,,,,,,,,,,,,,,,,,,,
1905,0.166,,,,,,,,,,,,,,,,,,,,,
1906,0.171,,,,,,,,,,,,,,,,,,,,,
1907,0.184,,,,,,,,,,,,,,,,,,,,,
1908,0.178,,,,,,,,,,,,,,,,,,,,,
1909,0.169,,,,,,,,,,,,,,,,,,,,,
1910,0.172,,,,,,,,,,,,,,,,,,,,,
1911,0.178,,,,,,,,,,,,,,,,,,,,,
1912,0.188,,,,,,,,,,,,,,,,,,,,,
1913,0.189,,,,,,,,,,,,,,,,,,,,,
1914,0.180,,,,,,,,,,,,,,,,,,,,,
1915,0.182,,,,,,,,,,,,,,,,,,,,,
1916,0.220,,,,,,,,,,,,,,,,,,,,,
1917,0.277,,,,,,,,,,,,,,,,,,,,,
1918,0.363,,,,,,,,,,,,,,,,,,,,,
1919,0.445,,,,,,,,,,,,,,,,,,,,,
1920,0.489,,,,,,,,,,,,,,,,,,,,,
1921,0.378,,,,,,,,,,,,,,,,,,,,,
1922,0.369,,,,,,,,,,,,,,,,,,,,,
1923,0.376,,,,,,,,,,,,,,,,,,,,,
1924,0.390,,,,,,,,,,,,,,,,,,,,,
1925,0.380,,,,,,,,,,,,,,,,,,,,,
1926,0.337,,,,,,,,,,,,,,,,,,,,,
1927,0.320,,,,,,,,,,,,,,,,,,,,,
1928,0.322,,,,,,,,,,,,,,,,,,,,,
1929,0.313,,,,,,,,,,,,,,,,,,,,,
1930,0.258,,,,,,,,,,,,,,,,,,,,,
1931,0.218,,0.220,,,0.309,,,,,,,0.257,0.178,0.281,0.183,,0.244,0.251,,,
1932,0.242,,0.249,,,0.327,,,,,,,0.298,0.210,0.290,0.222,,0.265,0.237,,,
1933,0.277,,0.291,,,0.400,,,,,,,0.353,0.219,0.307,0.308,,0.305,0.278,,,
1934,0.283,,0.280,,,0.383,,,,,,,0.372,0.255,0.305,0.310,,0.305,0.292,,,
1935,0.290,,0.277,,,0.407,,,,,,,0.381,0.294,0.309,0.288,,0.300,0.300,,,
1936,0.302,,0.287,,,0.375,,,,,,,0.409,0.307,0.324,0.301,,0.301,0.314,,,
1937,0.367,,0.331,,,0.431,,,,,,,0.514,0.328,0.352,0.598,,0.415,0.364,,,
1938,0.387,,0.333,,,0.485,,,,,,,0.561,0.351,0.374,0.595,,0.473,0.453,,,
1939,0.427,,0.412,,,0.497,,,,,,,0.611,0.394,0.404,0.528,,0.543,0.450,,,
1940,0.478,,0.463,,,0.581,,,,,,,0.694,0.449,0.464,0.542,,0.629,0.485,,,
1941,0.512,,0.532,,,0.626,,,,,,,0.711,0.452,0.473,0.552,,0.665,0.517,,,
1942,0.558,,0.599,,,0.649,,,,,,,0.739,0.453,0.518,0.598,,0.689,0.555,,,
1943,0.597,,0.620,,,0.718,,,,,,,0.793,0.487,0.636,0.599,,0.726,0.556,,,
1944,0.676,,0.660,,,1.106,,,,,,,0.934,0.546,0.845,0.601,,0.845,0.585,,,
1945,1.021,,1.072,,,2.207,,,,,,,1.291,0.604,1.298,0.790,,1.223,0.766,,,
1946,4.744,4.056,4.469,,,10.109,,,,,,,5.638,2.862,5.560,5.123,4.651,5.220,3.462,,4.565,
1947,14.039,13.951,13.626,,,19.888,,,,,,,15.329,9.762,19.278,11.225,12.791,17.633,13.573,,14.903,
1948,37.296,40.510,39.799,,,44.296,,,,,,,41.486,29.014,54.755,26.427,31.662,39.988,37.818,,42.898,
1949,60.865,69.215,85.513,,,61.182,,,,,,,61.784,51.617,89.865,37.771,48.971,56.506,56.732,,73.870,
