year,1 産 業;1 Industries,"1) 農林水産業;1) Agriculture, forestry and fishery",2) 鉱業;2) Mining,3) 製造業;3) Manufacturing,ａ 食料品;a Food and beverages,ｂ 繊維;b Textiles,"ｃ パルプ・紙;c Pulp, paper and paper products",ｄ 化学;d Chemicals,ｅ 石油・石炭製品;e Petroleum and coal products,ｆ 窯業・土石製品;f Non-metallic mineral products,ｇ 一次金属;g Basic metal,ｈ 金属製品;h Fabricated metal products,ｉ 一般機械;i Machinery,"ｊ 電気機械;j Electrical machinery, equipment and supplies",ｋ 輸送機械;k Transport equipment,ｌ 精密機械;l Precision instrument,ｍ その他の製造業;m Others,4) 建設業;4) Construction,"5) 電気・ガス・水道業;5) Electricity, gas and water supply",6) 卸売・小売業;6) Wholesale and retail trade,7) 金融・保険業;7) Finance and insurance,8) 不動産業;8) Real estate,9) 運輸・通信業;9) Transportation and communication,運輸通信業/94~情報通信業,10) サービス業;10) Services,category
1955,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,output
1956,108.560,100.000,105.341,109.630,99.013,104.494,100.783,102.344,101.953,98.795,130.213,113.580,106.110,100.735,106.845,100.955,102.536,113.529,100.816,102.606,106.997,114.458,104.348,104.348,102.158,output
1957,114.786,105.830,112.463,114.321,101.974,96.790,106.527,98.633,114.062,103.916,138.936,121.235,115.682,103.253,111.352,99.318,107.246,122.941,101.224,105.863,114.286,126.506,109.486,109.486,105.755,output
1958,108.560,102.691,109.496,106.173,102.632,86.998,100.261,100.000,107.031,101.205,113.830,111.111,114.053,105.037,111.018,96.180,103.261,112.353,101.633,103.909,108.746,138.554,106.719,106.719,107.194,output
1959,113.230,101.794,104.154,110.123,103.618,91.653,102.872,101.367,115.234,100.602,114.255,112.593,113.849,103.987,109.015,94.407,109.420,120.000,102.041,104.886,107.289,154.217,107.115,107.115,112.950,output
1960,119.066,105.830,103.561,113.333,107.237,91.974,98.956,102.148,117.188,102.711,113.830,112.840,114.664,104.407,108.347,93.452,113.043,122.941,108.980,109.772,108.455,167.470,107.115,107.115,120.144,output
1961,126.459,115.695,102.671,115.802,109.211,91.974,102.089,104.102,110.938,106.024,112.340,115.062,117.108,106.296,108.514,96.317,122.464,134.706,115.510,114.658,114.577,185.542,111.858,111.858,129.496,output
1962,128.794,121.525,103.264,114.074,110.855,89.567,101.305,101.172,107.031,111.446,104.468,112.593,117.923,106.401,107.346,93.452,125.362,139.412,123.673,117.264,118.659,198.795,112.648,112.648,142.446,output
1963,133.852,132.287,100.890,114.815,117.434,96.629,103.394,103.906,107.422,111.446,105.106,108.889,117.108,105.142,106.511,95.634,124.638,145.294,123.265,122.801,122.449,218.072,113.834,113.834,156.835,output
1964,138.911,137.220,105.045,116.296,118.092,93.900,108.094,104.688,106.641,111.747,107.447,110.123,116.497,104.197,105.342,98.090,125.725,150.000,123.265,126.384,127.114,248.193,120.553,120.553,165.468,output
